,Class-1,Class-2,Validation-Set_Accuracy
0,B,A,0.4910144927536232
1,C,A,0.5084057971014493
2,C,B,0.49333333333333335
3,D,A,0.5078260869565218
4,D,B,0.5153623188405797
5,D,C,0.5130434782608696
6,E,A,0.48985507246376814
7,E,B,0.49971014492753624
8,E,C,0.49971014492753624
9,E,D,0.5031884057971014
10,F,A,0.4973913043478261
11,F,B,0.5136231884057971
12,F,C,0.5014492753623189
13,F,D,0.48927536231884056
14,F,E,0.49681159420289855
15,G,A,0.4910144927536232
16,G,B,0.4956521739130435
17,G,C,0.503768115942029
18,G,D,0.5020289855072464
19,G,E,0.5072463768115942
20,G,F,0.5113043478260869
21,H,A,0.49971014492753624
22,H,B,0.5008695652173913
23,H,C,0.48
24,H,D,0.5089855072463768
25,H,E,0.5066666666666667
26,H,F,0.5095652173913043
27,H,G,0.4956521739130435
28,I,A,0.49391304347826087
29,I,B,0.5095652173913043
30,I,C,0.49971014492753624
31,I,D,0.5136231884057971
32,I,E,0.49043478260869566
33,I,F,0.4742028985507246
34,I,G,0.5147826086956522
35,I,H,0.5014492753623189
36,J,A,0.49971014492753624
37,J,B,0.4979710144927536
38,J,C,0.4863768115942029
39,J,D,0.48927536231884056
40,J,E,0.49681159420289855
41,J,F,0.4985507246376812
42,J,G,0.49043478260869566
43,J,H,0.5182608695652174
44,J,I,0.5228985507246376
45,K,A,0.5002898550724638
46,K,B,0.48985507246376814
47,K,C,0.5055072463768115
48,K,D,0.5060869565217392
49,K,E,0.5002898550724638
50,K,F,0.4811594202898551
51,K,G,0.5147826086956522
52,K,H,0.4927536231884058
53,K,I,0.5043478260869565
54,K,J,0.5223188405797101
55,L,A,0.49391304347826087
56,L,B,0.5124637681159421
57,L,C,0.47304347826086957
58,L,D,0.49681159420289855
59,L,E,0.5095652173913043
60,L,F,0.5055072463768115
61,L,G,0.48231884057971014
62,L,H,0.5124637681159421
63,L,I,0.5020289855072464
64,L,J,0.5078260869565218
65,L,K,0.5008695652173913
66,M,A,0.5014492753623189
67,M,B,0.5142028985507247
68,M,C,0.5055072463768115
69,M,D,0.5124637681159421
70,M,E,0.5130434782608696
71,M,F,0.5060869565217392
72,M,G,0.4985507246376812
73,M,H,0.4863768115942029
74,M,I,0.4979710144927536
75,M,J,0.4881159420289855
76,M,K,0.5060869565217392
77,M,L,0.983768115942029
78,N,A,0.5159420289855072
79,N,B,0.5020289855072464
80,N,C,0.48869565217391303
81,N,D,0.49623188405797103
82,N,E,0.5031884057971014
83,N,F,0.48927536231884056
84,N,G,0.48057971014492756
85,N,H,0.49043478260869566
86,N,I,0.5078260869565218
87,N,J,0.4782608695652174
88,N,K,0.49971014492753624
89,N,L,0.49681159420289855
90,N,M,0.48579710144927535
91,O,A,0.504927536231884
92,O,B,0.5142028985507247
93,O,C,0.4973913043478261
94,O,D,0.48869565217391303
95,O,E,0.5101449275362319
96,O,F,0.4944927536231884
97,O,G,0.5031884057971014
98,O,H,0.5136231884057971
99,O,I,0.5043478260869565
100,O,J,0.5159420289855072
101,O,K,0.518840579710145
102,O,L,0.5043478260869565
103,O,M,0.5008695652173913
104,O,N,0.503768115942029
105,P,A,0.5113043478260869
106,P,B,0.5147826086956522
107,P,C,0.5165217391304348
108,P,D,0.48927536231884056
109,P,E,0.5020289855072464
110,P,F,0.47942028985507246
111,P,G,0.49391304347826087
112,P,H,0.49217391304347824
113,P,I,0.5060869565217392
114,P,J,0.4910144927536232
115,P,K,0.4852173913043478
116,P,L,0.49681159420289855
117,P,M,0.4956521739130435
118,P,N,0.5066666666666667
119,P,O,0.5101449275362319
120,Q,A,0.4956521739130435
121,Q,B,0.518840579710145
122,Q,C,0.5147826086956522
123,Q,D,0.487536231884058
124,Q,E,0.48869565217391303
125,Q,F,0.49217391304347824
126,Q,G,0.4915942028985507
127,Q,H,0.4973913043478261
128,Q,I,0.518840579710145
129,Q,J,0.5084057971014493
130,Q,K,0.4985507246376812
131,Q,L,0.487536231884058
132,Q,M,0.47130434782608693
133,Q,N,0.5031884057971014
134,Q,O,0.5031884057971014
135,Q,P,0.49681159420289855
136,R,A,0.48869565217391303
137,R,B,0.4852173913043478
138,R,C,0.5014492753623189
139,R,D,0.48695652173913045
140,R,E,0.48927536231884056
141,R,F,0.5078260869565218
142,R,G,0.4834782608695652
143,R,H,0.5176811594202898
144,R,I,0.5002898550724638
145,R,J,0.5078260869565218
146,R,K,0.5026086956521739
147,R,L,0.504927536231884
148,R,M,0.5089855072463768
149,R,N,0.47884057971014493
150,R,O,0.4991304347826087
151,R,P,0.48927536231884056
152,R,Q,0.4863768115942029
153,S,A,0.49971014492753624
154,S,B,0.5089855072463768
155,S,C,0.5031884057971014
156,S,D,0.49971014492753624
157,S,E,0.52
158,S,F,0.5066666666666667
159,S,G,0.5176811594202898
160,S,H,0.49391304347826087
161,S,I,0.4985507246376812
162,S,J,0.5002898550724638
163,S,K,0.5078260869565218
164,S,L,0.4944927536231884
165,S,M,0.48579710144927535
166,S,N,0.5031884057971014
167,S,O,0.5084057971014493
168,S,P,0.4910144927536232
169,S,Q,0.48869565217391303
170,S,R,0.4979710144927536
171,T,A,0.5130434782608696
172,T,B,0.4979710144927536
173,T,C,0.5014492753623189
174,T,D,0.4910144927536232
175,T,E,0.4944927536231884
176,T,F,0.4973913043478261
177,T,G,0.46608695652173915
178,T,H,0.4991304347826087
179,T,I,0.49333333333333335
180,T,J,0.5026086956521739
181,T,K,0.4979710144927536
182,T,L,0.5043478260869565
183,T,M,0.5055072463768115
184,T,N,0.5043478260869565
185,T,O,0.4973913043478261
186,T,P,0.5147826086956522
187,T,Q,0.5031884057971014
188,T,R,0.5211594202898551
189,T,S,0.5031884057971014
190,U,A,0.4817391304347826
191,U,B,0.5020289855072464
192,U,C,0.503768115942029
193,U,D,0.48927536231884056
194,U,E,0.49391304347826087
195,U,F,0.4915942028985507
196,U,G,0.4927536231884058
197,U,H,0.49043478260869566
198,U,I,0.49971014492753624
199,U,J,0.5014492753623189
200,U,K,0.5194202898550725
201,U,L,0.5159420289855072
202,U,M,0.5072463768115942
203,U,N,0.5031884057971014
204,U,O,0.4915942028985507
205,U,P,0.49971014492753624
206,U,Q,0.4973913043478261
207,U,R,0.5089855072463768
208,U,S,0.5113043478260869
209,U,T,0.4852173913043478
210,V,A,0.5031884057971014
211,V,B,0.5089855072463768
212,V,C,0.5066666666666667
213,V,D,0.5078260869565218
214,V,E,0.4944927536231884
215,V,F,0.4991304347826087
216,V,G,0.5136231884057971
217,V,H,0.487536231884058
218,V,I,0.5217391304347826
219,V,J,0.5321739130434783
220,V,K,0.4973913043478261
221,V,L,0.5147826086956522
222,V,M,0.4927536231884058
223,V,N,0.48405797101449277
224,V,O,0.5008695652173913
225,V,P,0.518840579710145
226,V,Q,0.5182608695652174
227,V,R,0.487536231884058
228,V,S,0.4956521739130435
229,V,T,0.49333333333333335
230,V,U,0.4991304347826087
231,W,A,0.5101449275362319
232,W,B,0.48927536231884056
233,W,C,0.49391304347826087
234,W,D,0.47884057971014493
235,W,E,0.5043478260869565
236,W,F,0.49681159420289855
237,W,G,0.5130434782608696
238,W,H,0.5176811594202898
239,W,I,0.5002898550724638
240,W,J,0.49391304347826087
241,W,K,0.5066666666666667
242,W,L,0.4915942028985507
243,W,M,0.5089855072463768
244,W,N,0.5153623188405797
245,W,O,0.5217391304347826
246,W,P,0.5089855072463768
247,W,Q,0.5136231884057971
248,W,R,0.49391304347826087
249,W,S,0.48927536231884056
250,W,T,0.5020289855072464
251,W,U,0.5002898550724638
252,W,V,0.4950724637681159
253,X,A,0.48579710144927535
254,X,B,0.5084057971014493
255,X,C,0.48579710144927535
256,X,D,0.5031884057971014
257,X,E,0.4817391304347826
258,X,F,0.49043478260869566
259,X,G,0.5043478260869565
260,X,H,0.4985507246376812
261,X,I,0.5014492753623189
262,X,J,0.4979710144927536
263,X,K,0.4915942028985507
264,X,L,0.5159420289855072
265,X,M,0.52
266,X,N,0.5176811594202898
267,X,O,0.49333333333333335
268,X,P,0.5060869565217392
269,X,Q,0.4910144927536232
270,X,R,0.48695652173913045
271,X,S,0.49333333333333335
272,X,T,0.4985507246376812
273,X,U,0.5118840579710144
274,X,V,0.4863768115942029
275,X,W,0.487536231884058
276,Y,A,0.5136231884057971
277,Y,B,0.48985507246376814
278,Y,C,0.49391304347826087
279,Y,D,0.49623188405797103
280,Y,E,0.4973913043478261
281,Y,F,0.5014492753623189
282,Y,G,0.49971014492753624
283,Y,H,0.5113043478260869
284,Y,I,0.5089855072463768
285,Y,J,0.48869565217391303
286,Y,K,0.5031884057971014
287,Y,L,0.48869565217391303
288,Y,M,0.5095652173913043
289,Y,N,0.5055072463768115
290,Y,O,0.49971014492753624
291,Y,P,0.5182608695652174
292,Y,Q,0.47884057971014493
293,Y,R,0.5113043478260869
294,Y,S,0.5107246376811594
295,Y,T,0.5101449275362319
296,Y,U,0.4701449275362319
297,Y,V,0.5002898550724638
298,Y,W,0.5031884057971014
299,Y,X,0.49623188405797103
300,Z,A,0.48289855072463767
301,Z,B,0.4956521739130435
302,Z,C,0.5113043478260869
303,Z,D,0.48579710144927535
304,Z,E,0.5008695652173913
305,Z,F,0.48579710144927535
306,Z,G,0.5066666666666667
307,Z,H,0.4701449275362319
308,Z,I,0.48869565217391303
309,Z,J,0.4985507246376812
310,Z,K,0.5165217391304348
311,Z,L,0.4811594202898551
312,Z,M,0.5176811594202898
313,Z,N,0.48695652173913045
314,Z,O,0.49333333333333335
315,Z,P,0.4985507246376812
316,Z,Q,0.5089855072463768
317,Z,R,0.5101449275362319
318,Z,S,0.5171014492753623
319,Z,T,0.48057971014492756
320,Z,U,0.5165217391304348
321,Z,V,0.49391304347826087
322,Z,W,0.48579710144927535
323,Z,X,0.4881159420289855
324,Z,Y,0.5026086956521739
